horizon_seconds,train_runs,test_run,model,train_rows,test_rows,mae_tower,mae_treated,mae_raw,avg_mae,avg_rmse,overall_r2
30,full_cycle_run_002 + full_cycle_run_003 + full_cycle_run_004 + pump_pwm_sweep_run_001 + valve_routing_run_001,pump_pwm_sweep_run_002,Mean Predictor,3339,849,93.14708511431603,135.7072704317867,148.47067053147293,125.77500869252522,136.9431306874147,-1.3549846435046298
30,full_cycle_run_002 + full_cycle_run_003 + full_cycle_run_004 + pump_pwm_sweep_run_001 + valve_routing_run_001,pump_pwm_sweep_run_002,Linear Regression,3339,849,21.084403755701302,13.410688216762782,3.4608991049606264,12.651997025808235,18.53318504128632,0.9471314692853244
30,full_cycle_run_002 + full_cycle_run_003 + full_cycle_run_004 + pump_pwm_sweep_run_001 + valve_routing_run_001,pump_pwm_sweep_run_002,Ridge Regression,3339,849,21.071355024448767,13.418424528400706,3.459949088254538,12.64990954703467,18.538409571141415,0.9471185371003163
30,full_cycle_run_002 + full_cycle_run_003 + full_cycle_run_004 + pump_pwm_sweep_run_001 + valve_routing_run_001,pump_pwm_sweep_run_002,Random Forest,3339,849,43.6502653693728,92.80482692033749,118.02206871387209,84.82572033452747,92.76231471167527,-0.17283424559607716
30,full_cycle_run_002 + full_cycle_run_003 + full_cycle_run_004 + pump_pwm_sweep_run_001 + pump_pwm_sweep_run_002,valve_routing_run_001,Persistence (no change),3554,634,14.717665615141955,18.009463722397477,5.66403785488959,12.797055730809674,19.387714135298975,0.9141107314912545
30,full_cycle_run_002 + full_cycle_run_003 + full_cycle_run_004 + pump_pwm_sweep_run_001 + pump_pwm_sweep_run_002,valve_routing_run_001,Mean Predictor,3554,634,166.18409611775968,237.83659057462557,36.46575147920636,146.82881272386388,159.6663370319597,-5.034840832792324
30,full_cycle_run_002 + full_cycle_run_003 + full_cycle_run_004 + pump_pwm_sweep_run_001 + pump_pwm_sweep_run_002,valve_routing_run_001,Linear Regression,3554,634,8.484048046623844,30.440643527332345,5.283441652823352,14.736044408926512,18.76440249897841,0.8932612504101792
30,full_cycle_run_002 + full_cycle_run_003 + full_cycle_run_004 + pump_pwm_sweep_run_001 + pump_pwm_sweep_run_002,valve_routing_run_001,Ridge Regression,3554,634,8.513548469770955,30.406383841289735,5.246110688184344,14.72201433308168,18.74175132560145,0.8934765009493869
30,full_cycle_run_002 + full_cycle_run_003 + full_cycle_run_004 + pump_pwm_sweep_run_001 + pump_pwm_sweep_run_002,valve_routing_run_001,Random Forest,3554,634,80.17636377246959,45.867844610952794,13.935765885754066,46.65999142305882,59.012440526909465,0.145208562494136
60,full_cycle_run_003 + full_cycle_run_004 + pump_pwm_sweep_run_001 + pump_pwm_sweep_run_002 + valve_routing_run_001,full_cycle_run_002,Persistence (no change),3341,667,14.014992503748125,54.18740629685158,9.899550224887557,26.033983008495753,62.9827311888039,0.7081825213334514
60,full_cycle_run_003 + full_cycle_run_004 + pump_pwm_sweep_run_001 + pump_pwm_sweep_run_002 + valve_routing_run_001,full_cycle_run_002,Mean Predictor,3341,667,53.550874891796894,339.4192121239573,54.20297543535913,149.05768748370443,168.819031906378,-1.1298173965382268
60,full_cycle_run_003 + full_cycle_run_004 + pump_pwm_sweep_run_001 + pump_pwm_sweep_run_002 + valve_routing_run_001,full_cycle_run_002,Linear Regression,3341,667,24.865701205264987,68.05869212764686,10.971840869309588,34.63207806740714,67.22604279495705,0.6842469154852013
60,full_cycle_run_003 + full_cycle_run_004 + pump_pwm_sweep_run_001 + pump_pwm_sweep_run_002 + valve_routing_run_001,full_cycle_run_002,Ridge Regression,3341,667,24.807453375543616,67.92263312714576,10.97182683799873,34.56730444689604,67.18213015222018,0.68471134700957
60,full_cycle_run_003 + full_cycle_run_004 + pump_pwm_sweep_run_001 + pump_pwm_sweep_run_002 + valve_routing_run_001,full_cycle_run_002,Random Forest,3341,667,50.693796125806884,223.23707717502825,43.854427202053095,105.92843350096274,119.7502146676465,0.08892926483805226
60,full_cycle_run_002 + full_cycle_run_004 + pump_pwm_sweep_run_001 + pump_pwm_sweep_run_002 + valve_routing_run_001,full_cycle_run_003,Persistence (no change),3702,306,35.47549019607843,18.516339869281047,23.93954248366013,25.977124183006538,40.69772008655115,0.2718168627928101
60,full_cycle_run_002 + full_cycle_run_004 + pump_pwm_sweep_run_001 + pump_pwm_sweep_run_002 + valve_routing_run_001,full_cycle_run_003,Mean Predictor,3702,306,57.73581582822215,19.55505061740173,42.83162342913046,40.04082995825144,56.491270037209766,-0.41475078503138124
60,full_cycle_run_002 + full_cycle_run_004 + pump_pwm_sweep_run_001 + pump_pwm_sweep_run_002 + valve_routing_run_001,full_cycle_run_003,Linear Regression,3702,306,28.92501551349745,30.507756524543247,11.247286405699699,23.560019481246798,38.890663956152785,0.3126929012601132
60,full_cycle_run_002 + full_cycle_run_004 + pump_pwm_sweep_run_001 + pump_pwm_sweep_run_002 + valve_routing_run_001,full_cycle_run_003,Ridge Regression,3702,306,28.93489296666282,30.508054636994412,11.223032702552247,23.555326768736492,38.88051280392099,0.3127910740689851
60,full_cycle_run_002 + full_cycle_run_004 + pump_pwm_sweep_run_001 + pump_pwm_sweep_run_002 + valve_routing_run_001,full_cycle_run_003,Random Forest,3702,306,73.6701925994934,119.42782074087059,19.475069470236914,70.8576942702003,78.80921795091287,-1.9086807688978158
60,full_cycle_run_002 + full_cycle_run_003 + pump_pwm_sweep_run_001 + pump_pwm_sweep_run_002 + valve_routing_run_001,full_cycle_run_004,Persistence (no change),3099,909,22.078107810781077,15.298679867986799,21.102310231023104,19.493032636596993,28.217980538463646,0.5911754281346715
60,full_cycle_run_002 + full_cycle_run_003 + pump_pwm_sweep_run_001 + pump_pwm_sweep_run_002 + valve_routing_run_001,full_cycle_run_004,Mean Predictor,3099,909,58.62182041050175,189.212748283542,49.62632681467616,99.15363183623997,104.86802478466387,-6.40177616673716
60,full_cycle_run_002 + full_cycle_run_003 + pump_pwm_sweep_run_001 + pump_pwm_sweep_run_002 + valve_routing_run_001,full_cycle_run_004,Linear Regression,3099,909,37.60473071122984,28.293244200766853,9.337246694471848,25.078407202156182,32.1369125642111,0.42283739628028005
60,full_cycle_run_002 + full_cycle_run_003 + pump_pwm_sweep_run_001 + pump_pwm_sweep_run_002 + valve_routing_run_001,full_cycle_run_004,Ridge Regression,3099,909,37.654729988612694,28.252576686323994,9.33981465157492,25.08237377550387,32.11325852166031,0.42352286735902905
60,full_cycle_run_002 + full_cycle_run_003 + pump_pwm_sweep_run_001 + pump_pwm_sweep_run_002 + valve_routing_run_001,full_cycle_run_004,Random Forest,3099,909,70.64555621555564,46.41754892472885,24.960866084158358,47.34132374148095,67.64927332363828,-1.7580311244675537
60,full_cycle_run_002 + full_cycle_run_003 + full_cycle_run_004 + pump_pwm_sweep_run_002 + valve_routing_run_001,pump_pwm_sweep_run_001,Persistence (no change),3305,703,16.256756756756758,14.617354196301564,10.729018492176387,13.867709815078236,27.963146044213698,0.6388599605918419
60,full_cycle_run_002 + full_cycle_run_003 + full_cycle_run_004 + pump_pwm_sweep_run_002 + valve_routing_run_001,pump_pwm_sweep_run_001,Mean Predictor,3305,703,50.50513468321475,75.5838461919207,148.59887277993911,91.56261788502485,96.6645042728801,-3.9661241900861675
60,full_cycle_run_002 + full_cycle_run_003 + full_cycle_run_004 + pump_pwm_sweep_run_002 + valve_routing_run_001,pump_pwm_sweep_run_001,Linear Regression,3305,703,19.63642887205653,16.80428141034309,15.946579942107267,17.462430074835627,23.17795803424745,0.7569420643504985
60,full_cycle_run_002 + full_cycle_run_003 + full_cycle_run_004 + pump_pwm_sweep_run_002 + valve_routing_run_001,pump_pwm_sweep_run_001,Ridge Regression,3305,703,19.630961883681653,16.687909653980658,16.014360670292817,17.44441073598504,23.171115182522357,0.7573002730034233
60,full_cycle_run_002 + full_cycle_run_003 + full_cycle_run_004 + pump_pwm_sweep_run_002 + valve_routing_run_001,pump_pwm_sweep_run_001,Random Forest,3305,703,28.976188132311204,75.242932856164,47.4106863832171,50.54326912389744,57.72592950727529,-0.5876366496324861
60,full_cycle_run_002 + full_cycle_run_003 + full_cycle_run_004 + pump_pwm_sweep_run_001 + valve_routing_run_001,pump_pwm_sweep_run_002,Persistence (no change),3189,819,37.67338217338217,24.714285714285715,13.434676434676435,25.274114774114775,40.96529843758381,0.7794059732137314
60,full_cycle_run_002 + full_cycle_run_003 + full_cycle_run_004 + pump_pwm_sweep_run_001 + valve_routing_run_001,pump_pwm_sweep_run_002,Mean Predictor,3189,819,92.91331714520831,135.97161488036278,151.46122718088947,126.78205306882019,137.68762252567237,-1.3714757010440712
60,full_cycle_run_002 + full_cycle_run_003 + full_cycle_run_004 + pump_pwm_sweep_run_001 + valve_routing_run_001,pump_pwm_sweep_run_002,Linear Regression,3189,819,28.37849928559049,29.17433320511329,6.301522224557341,21.28478490508704,27.46220427684658,0.8939395678034174
